,wid,price,designation,variety,region_1,region_2,province,country,winery,clean,cleaned,encoded
77,78,,Domaine des Emois,Sauvignon Blanc,Sancerre,,Loire Valley,France,Joseph Mellot, singlevineyard wine ripe  tropical  yellow fruits    rich texture   concentrated full   mouth  delicious juicy acidity  well  warm fruitiness  texture cut  minerality offers  possibility  aging drink  2015,ripe tropical yellow rich full juicy warm,"0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0"
78,79,25.0,Suma Kaw,Syrah,Sierra Foothills,Sierra Foothills,California,US,La Clarine Farm, wines   producer always resemble one another aromatically   unique way theres bright wild strawberry  healthy handfuls  black  white pepper amidst  earthy smoky edge young firm light   tongue  finish picks  substantial steam  hit  herbal smoke    taking,unique bright wild healthy handful black white earthy smoky substantial herbal,"1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,1"
79,80,30.0,Col Matiss,Sauvignon,Colli Orientali del Friuli,,Northeastern Italy,Italy,La Tunella,bold  savory   intriguing aromas  grass dried hay stone fruit  dill  rich warm palate delivers yellow peach candied ginger  grapefruit accented  sage   vanilla note,bold rich warm yellow,"0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0"
80,81,20.0,Quintessence Vieilles Vignes,Cabernet Franc,Saint-Nicolas-de-Bourgueil,,Loire Valley,France,Vignoble de la Jarnoterie, concentrated wine  dark tannins  well  perfumed red fruits blackberry flavors   dense structure  old vines give extra intensity   need  age drink  2016,dark red dense old extra,"0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,1,0,0"
81,82,33.0,Limited Edition,Syrah,,,Maipo Valley,Chile,Viña Maipo,strong dark aromas  blackberry  cassis  tight  dense  concentrated voluminous wine  tangy acidity  flavors  savory spice chocolate  baked berries  herbal finish  olive  leathery flavors comes   racy tangy feel drink  2018,strong dark dense voluminous savory herbal,"0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0"
82,83,30.0,The Scrapper,Cabernet Franc,El Dorado County,Sierra Foothills,California,US,Vinum Cellars, scrapper  aptly named packing plenty  flavorful punches   structured  softly tannic wine peppery especially  aroma  offers fullbodied leathery black cherry fruit  concentrated layers  savory chocolate  delicious   make  fine pairing   steak,flavorful tannic leathery black,"1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0"
83,84,20.0,Estate Reserve,Chardonnay,Willamette Valley,Willamette Valley,Oregon,US,David Hill,   interesting floral componentwhite blossomscoming    nose  sailing along  top  flavors  buttered nuts  somewhat oily mouthfeel  lifted  moderate acids   overall length  followthrough make  one   better vintages   affordably priced wine,interesting floral componentwhite top oily moderate overall well,"0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0"
84,85,9.0,Paxis,Portuguese Red,,,Lisboa,Portugal,DFJ Vinhos,rich spicy  deliciously fruity   tannins well cushioned   ample blackberry flavors acidity preserves  wines easy freshness   also   dense texture drink now   wine   richer  late 2014,rich ample easy dense rich late,"0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0"
85,86,16.0,Rüdesheimer Halbtrocken,Riesling,,,Rheingau,Germany,Dr. Nägler,whiffs  ripe red berries  stone fruit lend  particularly fruity tone   just offdry riesling  medium bodied  style sumptuously ripe flavors  peach  nectarine give  palate  distinct plumpness wraps  tart  tight   shower  citrus acidity,ripe medium bodied ripe palate distinct plumpness,"0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0"
86,87,,Vom Berg,Riesling,,,Kamptal,Austria,Eichinger,restrained  concentrated fruit rules grapefruit peel draws     reveal almost candied rich orange  citron   streamlined linear palate,restrained rich,"0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0"
87,88,25.0,Il Ladro,Red Blend,Lodi,Central Valley,California,US,Fields Family,meaning  thief il ladro blends 90 sangiovese 5 cabernet sauvignon  5 merlot  silky smooth blockbuster   wine  dances  acidity  bright cherry clove  spice throughout  tannins  wellbehaved    background  finish exceptionally long,sangiovese silky smooth blockbuster bright wellbehaved,"0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0"
88,89,38.0,Brauneberger Juffer Spätlese,Riesling,,,Mosel,Germany,Fritz Haag,slightly earthy savory tones  lanolin  herb lend complexity   palate thats lavish  peach  quince jelly flavors semisweet  style  quaffable  refreshing   fruity exuberance offset   cutting stark acidity,earthy lavish quaffable stark,"0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0"
89,90,22.0,Bratinis,White Blend,Collio,,Northeastern Italy,Italy,Gradis'ciutta, fullbodied  savory blend  chardonnay ribolla gialla  sauvignon opens  lovely aromas  hawthorne apple  stone fruit  vibrant palate delivers yellow peach nectarine golden delicious apple  candied citrus alongside bright acidity,lovely vibrant yellow bright,"0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0"
90,91,26.0,Johannisberg V Kabinett,Riesling,,,Rheingau,Germany,Johannishof,hints  lemongrass  blossom lend lavish perfume  flavors  peach  cantaloupe   ripe richly fruity wine mediumsweet  style  backed   piercing lemon acidity  zest notes  linger   finish,lavish ripe linger,"0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0"
91,92,,Ried Klaus Federspiel,Riesling,,,Wachau,Austria,Josef Jamek,  reminiscent    welldone fruit cocktail grape melon  pear mingle amongst citrus freshness   tropical hints  lychee mixed  wonderfully fruity rounded  fresh   zesty seam  acidity,reminiscent tropical mixed zesty,"0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0"
92,93,22.0,Vom Urgestein,Riesling,,,Kremstal,Austria,Josef Schmid, touch  flint  spritz   zesty tang   lemon  grapefruit peel make  racy  sleek   addictive seam  bright acid puls    long lingering  clean finish,zesty sleek addictive bright,"0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0"
93,94,30.0,Col Livius,Friulano,Colli Orientali del Friuli,,Northeastern Italy,Italy,La Tunella,made  native grape friulano  fermented  large casks  fullbodied sophisticated wine opens  delicate aromas  recall lemon blossom acacia  walnut  linear palate offers bartlett pear lemon zest  golden apple accented  notes  bitter almond   develop complexity   next  years drink  2018,native large sophisticated delicate golden bitter next,"0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0"
94,95,22.0,Jack's Hill,Chardonnay,Monterey County,Central Coast,California,US,Le P'tit Paysan, subtle scent  vanilla soufflé translates   soft mouthfeel  buttered toast flavors resulting   wine ready  meals  casual roast chicken  mashed potatoes  upscale nutcrusted halibut atop polenta theres ample acidity   still falls   traditional california chardonnay camp,subtle soft casual ample traditional,"0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0"
95,96,80.0,Terre Alte,White Blend,Rosazzo,,Northeastern Italy,Italy,Livio Felluga, blend friulano fermented  oak  pinot bianco  sauvignon fermented  steel tanks   aromas  white fragrant flowers subtle oak toast  exotic fruit  rich palate offers pear apple candied citrus vanilla  butterscotch,friulano white fragrant subtle exotic rich,"0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1"
96,97,85.0,Gattera,Nebbiolo,Barolo,,Piedmont,Italy,Cordero di Montezemolo,leather underbrush baked plum menthol   whiff  cake spice     aromas  lift    glass  ripe palate delivers dried black cherry fig star anise mocha espresso  grilled sage  closegrained tannins provide  framework drink 20172022,ripe black,"1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0"
97,98,120.0,Estate Bottled DuBrul Vineyard,Bordeaux-style Red Blend,Yakima Valley,Columbia Valley,Washington,US,Côte Bonneville, wine   blend  cabernet sauvignon  merlot  aromas suggest notes  hightoned herbs cranberry fresh cherries  cassis  provide appeal  palate provides elegant sophisticated flavors  linger,merlot hightoned elegant sophisticated,"0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0"
98,99,65.0,Estate Bottled DuBrul Vineyard,Syrah,Yakima Valley,Columbia Valley,Washington,US,Côte Bonneville,dubrul vineyard  best known   bordeaux varieties  syrah shines   aromas  smoke brown spices coffee herbs  earth lead   lithe palate  puts  premium  elegance,brown lithe premium,"0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0"
99,100,23.0,Fuchsentanz,Riesling,,,Wagram,Austria,Diwald, beautifully pure linear  generous rendition  riesling   loess soils  wagram    softer aspect  still  beautifully slender  exquisitely balanced   needs    rays  sunshine   enjoyed   full,pure linear generous soft slender full,"0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0"
100,101,15.0,Les Trois Versants Vieilles Vignes Sur Lie,Melon,Muscadet Sèvre et Maine,,Loire Valley,France,Domaine Martin,   dense rich wine  balances intense citrus fruit   tight mineral texture   refreshing crisp  also concentrated   old vines  wine  young  fruity    better  2015,dense rich intense refreshing crisp old,"0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0"
101,102,20.0,Tradition Reserve,Grüner Veltliner,,,Weinviertel,Austria,Dürnberg,ripe almost tropical fruit notes appear pineapple  orange zest  tempered  peppery yeastiness  becomes stronger   expressive  textured   palate  phenolic backbone provides structure alongside zesty freshness  packs  real punch,tropical strong expressive phenolic zesty real,"0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0"
102,103,50.0,Reserva,Tempranillo,Ribera del Duero,,Northern Spain,Spain,Emina,jammy blueberry  prune aromas  ripe   bit dull  rudimentary plump chunky jammy  tannic across  palate  tastes like mashed blackberry  molasses  finish thats warm  chubby  also tannic  rocks lacks  elegance  precision drink 20182030,prune ripe dull rudimentary plump mashed warm tannic,"0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0"
103,104,17.0,Crianza,Tempranillo Blend,Rioja,,Northern Spain,Spain,Marqués de Vargas,ripe baked aromas  cassis plum  cinnamon lead   alert lively palate  big tannins flavors  spicy redberry fruits come   dusting  cocoa  muscular tannins give structure   fullforce finish drink  2022,ripe baked big muscular,"0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0"
104,105,28.0,Miraflores Vineyards,Barbera,El Dorado,Sierra Foothills,California,US,Miraflores,ripe fruit  lush  subtle oak accents make  good combo   fullbodied complex  layered wine generous ripe plum notes harmonize  light cinnamon  cocoa accents,ripe lush subtle complex layered generous ripe light,"0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0"
105,106,38.0,Entanglement,G-S-M,Napa Valley,Napa,California,US,V. Sattui, true gsm   comingling  67 grenache  24 syrah  9 mourvèdre  wine  burly  red  black cherry  retaining  softness  texture  powerfully generous body weight cinnamon  earth round   finish,true red black generous round,"1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0"
106,107,39.0,Unoaked,Chardonnay,Russian River Valley,Sonoma,California,US,Williams Selyem, white  appeal greatly    prefer stainlesssteel treatment   tangle  sour apple sharp acidity  full   heavy texture  gets better   glass softening  sharpness  tang opening   elements  melon  lime,white sour sharp full heavy well,"0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1"
107,108,40.0,Vista Verde Vineyard Late Harvest,Gewürztraminer,San Benito County,Central Coast,California,US,Williams Selyem,concentrated jasmine aromas meet  touches  iodine lemon curd golden flowers  honey   nose   dessert wine  refreshingly light  body    zesty lemonskin acidity  cuts   pear juice  keylime rind flavors  smooth  balanced,light zesty,"0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0"
108,109,20.0,Edition Chremisa Sandgrube 13,Grüner Veltliner,,,Niederösterreich,Austria,Winzer Krems,bundled firm notes  green pear convince right   start  exuberant  crisp fruit comes   taut  dense palate  also fizzes  peppery herbal savor  crisp slender wine echoes long,green exuberant crisp dense herbal crisp slender,"0,0,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0,1,0,0"
109,110,48.0,Bien Nacido Vineyard Homage Collection,Pinot Noir,Santa Ynez Valley,Central Coast,California,US,Zaca Mesa,tight cranberry  sourcherry aromas meet  turned earth iron  woody herbs like dried sticks  sage   nose   wine  palate shows iron sagebrushlaced cranberry juice  pomegranate fruit proving lively  energetic   tangy palate,sourcherry sagebrushlaced energetic,"0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0"
110,111,50.0,Les Petits,Red Blend,,,America,US,Château Élan, dark potent fullbodied wine  made  two   darkest  tannic grape varietiespetit verdot  petite syrahand   nothing petite   blend  color  almost black  opaque  aromas  flavors suggest smoke blueberry  espresso  texture  tannic   overbearing,dark potent dark tannic petite petite black opaque blueberry tannic,"1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0"
111,112,38.0,Marqués de Toro Finca la Moura,Mencía,Vino de la Tierra de Castilla y León,,Northern Spain,Spain,Alvarez de Toledo,ripe raisiny aromas  earthy berry fruits chocolate  vanilla introduce  choppy palate  oaky flavors  dried cheese  cream  also shows dried plum  berry flavors   full scratchy palate end notes  foresty berry fruits earth licorice  hard spices  impressively solid drink  2020,ripe earthy choppy full scratchy foresty hard solid,"0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0"
112,113,40.0,Koinè,Nerello Mascalese,Etna,,Sicily & Sardinia,Italy,Antichi Vinai 1877,underbrush dried wild flower  aromatic herb aromas come together   glass  fullbodied palate offers dried black cherry licorice leather mint  clove alongside firm polished tannins drink soon  capture  remaining fruit flavors,wild aromatic black polished,"1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0"
113,114,15.0,Bühlweingarten,Riesling,,,Carnuntum,Austria,Artner, touch  passion fruit plays   nose  palate    hand  full  lime  lemon zest  counters  exuberant fruit  lovely playful highwire act  fruit  freshness  provides immense refreshment,full exuberant lovely playful immense,"0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0"
114,115,25.0,96 Cedars,Bordeaux-style Red Blend,Red Mountain,Columbia Valley,Washington,US,Auclair,aromas  wood spice black licorice graphite  blackberry  followed  cranberry  cherry flavors  shows  fine sense  balance,black,"1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0"
115,116,25.0,Wildebeest,Red Blend,Columbia Valley (WA),Columbia Valley,Washington,US,Beast, wine  principally syrah cabernet sauvignon  cabernet franc along  bits  malbec grenache  merlot aromas  green garden herbs  earthy funk  followed  soft elegant earth  dark fruit flavors  bring appeal  intrigue,green earthy soft elegant dark,"0,0,0,0,1,0,0,0,0,1,0,1,0,0,0,0,1,0,1,0"
116,117,60.0,Trifecta by Louis de Coninck Estate Bottled,Bordeaux-style Red Blend,Napa Valley,Napa,California,US,Beaucanon,cherry cassis   cordiallike richness dominate   mediumbodied blend  cabernet sauvignon  petit verdot cabernet franc  malbec  fruit ripeness  elegantly offset  tobacco leather  grippy tannin drink now  2020,offset,"0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0"
117,118,79.0,Cerequio,Nebbiolo,Barolo,,Piedmont,Italy,Beni di Batasiolo,ripe dark fruit menthol tilled earth  underbrush aromas lead  nose along   balsamic note  palate  still  bit shy  eventually reveals mature berry baking spice   hint  truffle alongside finegrained tannins drink 20192025,ripe dark balsamic shy mature finegrained,"0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0"
118,119,14.0,Made With Organic Grapes,Grüner Veltliner,,,Austria,Austria,Biokult,creamy notes  pear still carry  hint  flinty smoke   pear notes rise  purity  bright freshness  pure lemon lifts everything  makes  purity ease refreshment  blithe joy,bright pure,"0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0"
119,120,53.0,Stuller Vineyard,Pinot Noir,Sonoma Coast,Sonoma,California,US,Boheme,  multiaspected redwoodsurrounded site  peeks   pacific ocean stuller traffics  aromas  baked bread  strawberry preserves  acidity hightoned  full  freshness still young  looking   development   glass  savory  soft aged  oncetofourtimes used french oak,full soft aged,"0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0"
120,121,55.0,La Serenne,Syrah,Columbia Valley (WA),Columbia Valley,Washington,US,Betz Family,toasty dense dark  complex   suffused   complex mix  coffee earth butterscotch cherry  mineral   underlayer  game roasted almond herb  earth still  baby young  tight  opens   decanting turning silky  supple  balance  impeccable  herbal nuances  preserved despite  147 alcohol,dense dark complex complex almond silky supple impeccable herbal,"0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0"
121,122,55.0,Pisoni Vineyard,Pinot Noir,Santa Lucia Highlands,Central Coast,California,US,Siduri,shows  impeccably ripe fruitiness  purity  characterize siduri pinot noirs   powerful structure   celebrated vineyard dry  fairly tannic  wines flavors   cherry pie filling red currants anise liqueur chocolate  pepper spice fabulously hedonistic now   slowly build momentum   next six years,ripe powerful tannic hedonistic,"0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0"
122,123,22.0,Wiley Vineyard,Pinot Gris,Anderson Valley,,California,US,Breggo,  coolest westernmost vineyard   appellation comes  deliciously balanced wine  offdry  residual sugar  1   considerable acidity gives  clean structure   flavors  peaches green apples honey  spices,cool offdry residual considerable,"0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0"
123,124,19.0,Sdricca di Manzano,Sauvignon,Colli Orientali del Friuli,,Northeastern Italy,Italy,Ca'Tullio,   cheerful  fragrant sauvignon  aromas  citrus exotic fruit  natural rubber  wine  good dimension  personality   compact feel   mouth  ends  bright freshness,cheerful fragrant sauvignon exotic natural compact bright,"0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0"
124,125,55.0,Owner's Reserve,Cabernet Sauvignon,Finger Lakes,Finger Lakes,New York,US,Chateau Lafayette Reneau,good cabernet character  around  nose  spicy  full  tobacco pepper  red berry fruit  start   palate good tannic structure   balance  big fruit leathertobacco  acid offer ageability  finesse  good food winepair   grilled beef  summer,full tannic big,"0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0"
