,wid,points,title,description,taster_name,taster_twitter_handle
98,99,90,Côte Bonneville 2013 Estate Bottled DuBrul Vineyard Syrah (Yakima Valley),"DuBrul Vineyard is best known for its Bordeaux varieties but Syrah shines there too. Aromas of smoke, brown spices, coffee, herbs and earth lead to a lithe palate that puts a premium on elegance.",Sean P. Sullivan,@wawinereport
99,100,90,Diwald 2015 Fuchsentanz Riesling (Wagram),"A beautifully pure, linear but generous rendition of Riesling from the loess soils of Wagram: this has a softer aspect but still is beautifully slender and exquisitely balanced. All this needs are a few rays of sunshine to be enjoyed to the full.",Anne Krebiehl MW,@AnneInVino
100,101,90,Domaine Martin 2015 Les Trois Versants Vieilles Vignes Sur Lie  (Muscadet Sèvre et Maine),"This is a dense, rich wine that balances intense citrus fruit with a tight mineral texture. It is refreshing, crisp while also concentrated from the old vines. The wine is young and fruity and will be better from 2015.",Roger Voss,@vossroger
101,102,90,Dürnberg 2015 Tradition Reserve Grüner Veltliner (Weinviertel),"Ripe, almost tropical fruit notes appear: pineapple and orange zest are tempered by peppery yeastiness which becomes stronger and more expressive and textured on the palate. A phenolic backbone provides structure alongside zesty freshness. This packs a real punch.",Anne Krebiehl MW,@AnneInVino
102,103,90,Emina 2012 Reserva  (Ribera del Duero),"Jammy blueberry and prune aromas are ripe but a bit dull and rudimentary. Plump, chunky, jammy and tannic across the palate, this tastes like mashed blackberry and molasses. A finish that's warm and chubby but also tannic as rocks lacks some elegance and precision. Drink 2018–2030.",Michael Schachner,@wineschach
103,104,90,Marqués de Vargas 2011 Crianza  (Rioja),"Ripe, baked aromas of cassis, plum and cinnamon lead to an alert, lively palate with big tannins. Flavors of spicy red-berry fruits come with a dusting of cocoa, while muscular tannins give structure to a full-force finish. Drink through 2022.",Michael Schachner,@wineschach
104,105,90,Miraflores 2012 Miraflores Vineyards Barbera (El Dorado),"Ripe fruit and lush but subtle oak accents make a good combo in this full-bodied, complex and layered wine. Generous, ripe plum notes harmonize with light cinnamon and cocoa accents.",Jim Gordon,@gordone_cellars
105,106,90,V. Sattui 2013 Entanglement G-S-M (Napa Valley),"A true GSM in its comingling of 67% Grenache with 24% Syrah and 9% Mourvèdre, this wine is burly in red and black cherry, while retaining a softness of texture and powerfully generous body weight. Cinnamon and earth round out the finish.",Virginie Boone,@vboone
106,107,90,Williams Selyem 2014 Unoaked Chardonnay (Russian River Valley),"This white will appeal greatly to those who prefer stainless-steel treatment, with its tangle of sour apple, sharp acidity and full but not heavy texture. It gets better in the glass, softening that sharpness and tang, opening up to elements of melon and lime.",Virginie Boone,@vboone
107,108,90,Williams Selyem 2014 Vista Verde Vineyard Late Harvest Gewürztraminer (San Benito County),"Concentrated jasmine aromas meet with touches of iodine, lemon curd, golden flowers and honey on the nose of this dessert wine. It's refreshingly light in body, but with a zesty lemon-skin acidity that cuts through the pear juice and Key-lime rind flavors. It's smooth and balanced.",Matt Kettmann,@mattkettmann
108,109,90,Winzer Krems 2015 Edition Chremisa Sandgrube 13 Grüner Veltliner (Niederösterreich),"Bundled, firm notes of green pear convince right from the start. The exuberant but crisp fruit comes on a taut but dense palate that also fizzes with peppery, herbal savor. This crisp, slender wine echoes long.",Anne Krebiehl MW,@AnneInVino
109,110,90,Zaca Mesa 2013 Bien Nacido Vineyard Homage Collection Pinot Noir (Santa Ynez Valley),"Tight cranberry and sour-cherry aromas meet with turned earth, iron and woody herbs like dried sticks of sage on the nose of this wine. The palate shows iron, sagebrush-laced cranberry juice and pomegranate fruit, proving lively and energetic on the tangy palate.",Matt Kettmann,@mattkettmann
110,111,90,Château Élan 2013 Les Petits Red (America),"This dark, potent, full-bodied wine is made from two of the darkest, most tannic grape varieties—Petit Verdot and Petite Syrah—and there is nothing petite about this blend. Its color is almost black and opaque, while aromas and flavors suggest smoke, blueberry and espresso. The texture is tannic but not overbearing.",Jim Gordon,@gordone_cellars
111,112,90,Alvarez de Toledo 2012 Marqués de Toro Finca la Moura Mencía (Vino de la Tierra de Castilla y León),"Ripe, raisiny aromas of earthy berry fruits, chocolate and vanilla introduce a choppy palate with oaky flavors of dried cheese and cream. This also shows dried plum and berry flavors on a full, scratchy palate. End notes of foresty berry fruits, earth, licorice and hard spices are impressively solid. Drink through 2020.",Michael Schachner,@wineschach
112,113,90,Antichi Vinai 1877 2011 Koinè  (Etna),"Underbrush, dried wild flower and aromatic herb aromas come together in the glass. The full-bodied palate offers dried black cherry, licorice, leather, mint and clove alongside firm, polished tannins. Drink soon to capture the remaining fruit flavors.",Kerin O’Keefe,@kerinokeefe
113,114,90,Artner 2015 Bühlweingarten Riesling (Carnuntum),"A touch of passion fruit plays on the nose. The palate on the other hand is full of lime and lemon zest that counters this exuberant fruit. A lovely, playful high-wire act between fruit and freshness that provides immense refreshment.",Anne Krebiehl MW,@AnneInVino
114,115,90,Auclair 2013 96 Cedars Red (Red Mountain),"Aromas of wood spice, black licorice, graphite and blackberry are followed by cranberry and cherry flavors. It shows a fine sense of balance.",Sean P. Sullivan,@wawinereport
115,116,90,Beast 2013 Wildebeest Red (Columbia Valley (WA)),"This wine is principally Syrah, Cabernet Sauvignon and Cabernet Franc along with bits of Malbec, Grenache and Merlot. Aromas of green garden herbs and earthy funk are followed by soft, elegant earth and dark fruit flavors that bring appeal and intrigue.",Sean P. Sullivan,@wawinereport
116,117,90,Beaucanon 2012 Trifecta by Louis de Coninck Estate Bottled Red (Napa Valley),"Cherry, cassis and a cordial-like richness dominate in this medium-bodied blend of Cabernet Sauvignon with Petit Verdot, Cabernet Franc and Malbec. The fruit ripeness is elegantly offset by tobacco, leather and grippy tannin. Drink now through 2020.",Virginie Boone,@vboone
117,118,90,Beni di Batasiolo 2012 Cerequio  (Barolo),"Ripe dark fruit, menthol, tilled earth and underbrush aromas lead the nose along with a balsamic note. The palate is still a bit shy but eventually reveals mature berry, baking spice and a hint of truffle alongside fine-grained tannins. Drink 2019–2025.",Kerin O’Keefe,@kerinokeefe
118,119,90,Biokult 2015 Made With Organic Grapes Grüner Veltliner (Austria),"Creamy notes of pear still carry a hint of flinty smoke, but the pear notes rise with purity. The bright freshness of pure lemon lifts everything and makes for purity, ease, refreshment and blithe joy.",Anne Krebiehl MW,@AnneInVino
119,120,90,Boheme 2012 Stuller Vineyard Pinot Noir (Sonoma Coast),"From a multi-aspected, redwood-surrounded site with peeks of the Pacific Ocean, Stuller traffics in aromas of baked bread and strawberry preserves, its acidity high-toned and full of freshness. Still young and looking for further development in the glass, it's savory and soft, aged in once-to-four-times used French oak.",Virginie Boone,@vboone
120,121,95,Betz Family 2006 La Serenne Syrah (Columbia Valley (WA)),"Toasty, dense, dark and complex, this is suffused with a complex mix of coffee, earth, butterscotch, cherry and mineral, with an underlayer of game, roasted almond, herb and earth. Still a baby, young and tight, it opens out with decanting, turning silky and supple. The balance is impeccable, and herbal nuances are preserved, despite the 14.7% alcohol.",Paul Gregutt,@paulgwine 
121,122,94,Siduri 2007 Pisoni Vineyard Pinot Noir (Santa Lucia Highlands),"Shows the impeccably ripe fruitiness and purity that characterize Siduri Pinot Noirs, with the powerful structure of this celebrated vineyard. Dry and fairly tannic, the wine's flavors are of cherry pie filling, red currants, anise liqueur, chocolate and pepper spice. Fabulously hedonistic now, and should slowly build momentum for the next six years.",Anonymous,
122,123,87,Breggo 2006 Wiley Vineyard Pinot Gris (Anderson Valley),"From the coolest, westernmost vineyard in the appellation comes this deliciously balanced wine. It's off-dry, with residual sugar of 1%, but the considerable acidity gives a clean structure to the flavors of peaches, green apples, honey and spices.",Anonymous,
123,124,87,Ca'Tullio 2007 Sdricca di Manzano Sauvignon (Colli Orientali del Friuli),"Here is a cheerful and fragrant Sauvignon with aromas of citrus, exotic fruit and natural rubber. The wine has good dimension and personality and a compact feel in the mouth that ends with bright freshness.",Anonymous,
124,125,87,Chateau Lafayette Reneau 2001 Owner's Reserve Cabernet Sauvignon (Finger Lakes),"Good Cabernet character all around. The nose is spicy and full, with tobacco, pepper and red berry fruit to start. On the palate, good tannic structure and a balance of big fruit, leather/tobacco and acid offer ageability and finesse. A good food wine—pair it with grilled beef this summer.",Susan Kostrzewa,@suskostrzewa
125,126,87,Clos du Lac 2004 Potter Vineyard Zinfandel (Shenandoah Valley (CA)),"If you like you Zinfandels very spicy and peppery, with a briary, rustic nature, this is for you. The flavors suggest blackberries, mulberries, blueberries and anise, with a roasted finish. But it's that spicebox thing that really marks the wine.",Anonymous,
126,127,87,Companhia das Quintas 2006 Quinta do Cardo White (Beira Interior),"Full, highly perfumed wine, with peanut and tangerine flavors that work well with the fresh acidity and citrus crispness. There is a good structure from the whole berry pressing that gives shape to the wine.",Roger Voss,@vossroger
127,128,87,Di Lenardo 2007 Vigneto Vigne da Lis Maris Chardonnay (Friuli Grave),"This luminous wine has a smooth, creamy quality that is reinforced by generous aromas of pineapple, citrus, peach and a dot of vanilla. It tastes fruity and fresh, but doesn't lack in structure, and would pair well with mushroom risotto.",Anonymous,
128,129,87,Domaines Ott 2006 Château de Selle Clair de Noirs Rosé (Côtes de Provence),"A pale salmon colored rosé, this medium- to full-bodied wine offers scents of honeydew, red berries, peach and crushed stones and flavors to match. The only quibble is that it finishes a little abruptly. This is very good, but consumers should be on the lookout for the fresher 2007.",Joe Czerwinski,@JoeCz
129,130,87,Quinta do Vallado 2006 Reserva White (Douro),"With a strong element of new wood, this has pear flavors, and feels very round and soft. The acidity is there, but subordinate to the ripe, full fruit and the gently rounded structure. Imported by Michael Skurnik Wines.",Roger Voss,@vossroger
130,131,87,R & B Cellars 2006 Counterpoint Cabernet Franc (El Dorado),"A very nice Cab Franc that shows how well this variety can do in the Sierra Foothills. It's quite soft and light in body, making it a wine for early drinking. But it offers waves of cherries, anisettte liqueur, cocoa, pepper and mint flavors that are delicious.",Anonymous,
131,132,87,I Clivi 2004 Clivi Brazan Tocai Friulano (Collio),"The nose here is redolent of ripe pear and Golden Delicious apple and has background shadings of honey and peach syrup. It is luminous, thick and creamy in appearance and offers a soft, chewy finish.",Anonymous,
132,133,87,Il Roncal 2006 Pinot Grigio Pinot Grigio (Colli Orientali del Friuli),"There's a fragrant grassy or herbal quality that is backed by copious tones of mature fruit, melon and grapefruit. This is a distinctive, personality-driven wine with a creamy, full texture that would pair with shellfish or white meat.",Anonymous,
