wid,price,variety,designation,region,province,country,winery,encoded,color
151,38.0,Pinot Noir,Septette,"Southern Oregon, Southern Oregon",Oregon,US,DanCin,"0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0", red
152,19.0,Sparkling Blend,Brut Nature,Crémant d'Alsace,Alsace,France,Domaine Barmès-Buecher,"0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0", white or rosé
153,85.0,Red Blend,Grand Cheval Oregon,"Oregon, Oregon Other",Oregon,US,Domaine Serene,"0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0", red
154,120.0,Cabernet Franc,Gran Enemigo El Cepillo Single Vineyard,Mendoza,Mendoza Province,Argentina,El Enemigo,"0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0", red
155,19.0,Sauvignon Blanc,Reserve Collection,"Livermore Valley, Central Coast",California,US,Ruby Hill Winery,"0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0", white
156,40.0,Syrah,High Slopes,"Sierra Foothills, Sierra Foothills",California,US,Terre Rouge,"0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0", red
157,27.0,Sparkling Blend,Comète,Crémant d'Alsace,Alsace,France,Vignoble des 2 Lunes,"0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0", white or rosé
158,28.0,Chardonnay,Estate Grown Estate Bottled,"Russian River Valley, Sonoma",California,US,Balletto,"0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0", white
159,21.0,Glera,Crede Brut,Valdobbiadene Prosecco Superiore,Veneto,Italy,Bisol,"0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0", white
160,56.0,Pinot Noir,3 Clone,"Santa Lucia Highlands, Central Coast",California,US,Boekenoogen,"1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0", red
161,30.0,Red Blend,Metoxi X Single Vineyard Xinomavro-Limnio-Cabernet Sauvignon,nan,Mount Athos,Greece,Tsantali,"0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0", red
162,30.0,Sparkling Blend,Cuvée Brut,"Finger Lakes, Finger Lakes",New York,US,Atwater,"0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0", white or rosé
163,12.0,Merlot,Reserva,nan,Maule Valley,Chile,Chilensis,"0,0,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0", red
164,26.0,Bordeaux-style Red Blend,Panorama,"Horse Heaven Hills, Columbia Valley",Washington,US,Cloudlift Cellars,"0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0", red
165,18.0,Montepulciano,Fructus,Rosso Conero,Central Italy,Italy,Conte Leopardi,"1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0", red
166,14.0,White Blend,Edelzwicker Réserve,Alsace,Alsace,France,Dirler-Cadé,"0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0", white
167,20.0,Chardonnay,Max Reserva,nan,Aconcagua Valley,Chile,Errazuriz,"0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0", white
168,10.0,Red Blend,Hot To Trot,"Columbia Valley (WA), Columbia Valley",Washington,US,14 Hands,"0,0,0,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0", red
169,38.0,Bordeaux-style Red Blend,Red,"Napa Valley, Napa",California,US,Hendry,"0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0", red
170,14.0,Pinot Blanc,Tradition,Alsace,Alsace,France,Jean-Baptiste Adam,"0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0", white
171,18.0,Pinot Gris,Tradition,Alsace,Alsace,France,Jean-Baptiste Adam,"0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0", white
172,20.0,Sparkling Blend,Brut Rosé,Crémant d'Alsace,Alsace,France,Jean-Baptiste Adam,"0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0", white or rosé
173,16.0,Red Blend,Melange,"Columbia Valley (WA), Columbia Valley",Washington,US,Waterbrook,"0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0", red
174,72.0,Cabernet Sauvignon,Midoriya Hills Vineyard,"Napa Valley, Napa",California,US,Prime,"0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0", red
175,30.0,Pinot Noir,Estate Bubbles Sparkling Rosé,"Finger Lakes, Finger Lakes",New York,US,Red Tail Ridge,"0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0", red
176,18.0,Red Blend,Montetinello,Rosso Piceno Superiore,Central Italy,Italy,Saladini Pilastri,"0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0", red
177,,Pinot Noir,Raflerjoch,nan,Vienna,Austria,Stift Klosterneuburg,"0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0", red
178,14.0,Red Blend,River's,"Columbia Valley (WA), Columbia Valley",Washington,US,Three Rivers,"0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0", red
179,120.0,Nebbiolo,Sarmassa,Barolo,Piedmont,Italy,Marchesi di Barolo,"1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0", red
180,107.0,Nebbiolo,Cerequio,Barolo,Piedmont,Italy,Michele Chiarlo,"0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0", red
181,72.0,Pinot Noir,Four Boys Vineyard,"Santa Lucia Highlands, Central Coast",California,US,Pessagno,"1,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0", red
182,68.0,Pinot Noir,Zephyr Farms Vineyard,"Sonoma Coast, Sonoma",California,US,Red Car,"0,0,0,0,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0", red
183,65.0,Tempranillo Blend,Valdegines Single Vineyard,Rioja,Northern Spain,Spain,Artadi,"0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0", red or white
184,50.0,Sauvignon Blanc,Sancerre d'Antan,Sancerre,Loire Valley,France,Henri Bourgeois,"0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0", white
185,55.0,Pinot Noir,Ribbon Ridge Estate,"Ribbon Ridge, Willamette Valley",Oregon,US,Trisaetum,"0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0", red
186,16.0,Portuguese Red,José de Sousa,nan,Alentejano,Portugal,José Maria da Fonseca,"0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0", red
187,50.0,Nebbiolo,Gattera,Barolo,Piedmont,Italy,Mauro Veglio,"1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0", red
188,50.0,Nebbiolo,Pisapola,Barolo,Piedmont,Italy,Ascheri,"0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,1,1", red
189,30.0,Pinot Gris,Vista Hills,"Dundee Hills, Willamette Valley",Oregon,US,Aubichon Cellars,"0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0", white
190,79.0,Nebbiolo,Cerequio,Barolo,Piedmont,Italy,Beni di Batasiolo,"1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0", red
191,100.0,Cabernet Sauvignon,1919,South Australia,South Australia,Australia,Casella,"1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0", red
192,61.0,Pinot Noir,Fogstone Vineyard,"Santa Lucia Highlands, Central Coast",California,US,Testarossa,"0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0", red
193,55.0,Pinot Noir,Wichmann Dundee Estate,"Dundee Hills, Willamette Valley",Oregon,US,Trisaetum,"0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0", red
194,68.0,Cabernet Sauvignon,Reserve,"Paso Robles, Central Coast",California,US,Venteux,"0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0", red
195,45.0,Riesling,Pfaffenberg Reserve,nan,Kremstal,Austria,Stift Göttweig,"0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0", white
196,50.0,Pinot Noir,Kent Berry Vineyard,"Santa Cruz Mountains, Central Coast",California,US,Thomas Fogarty,"0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0", red
197,160.0,Cabernet Sauvignon,Clone 337 Unfiltered,"Rutherford, Napa",California,US,Bell,"1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0", red
198,50.0,Red Blend,Indaco,Toscana,Tuscany,Italy,Tenuta Sette Cieli,"0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0", red
199,55.0,Chardonnay,Here and Heaven John Sebastiano Vineyard,"Sta. Rita Hills, Central Coast",California,US,La Voix,"0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0", white
200,28.0,Cabernet Sauvignon,Estate Bottled,"El Dorado, Sierra Foothills",California,US,Lava Cap,"1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0", red
201,30.0,Chardonnay,Rancho Santa Rosa,"Sta. Rita Hills, Central Coast",California,US,Lincourt,"0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0", white
202,54.0,Pinot Noir,Garys' Vineyard,"Santa Lucia Highlands, Central Coast",California,US,Loring Wine Company,"0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0", red
203,39.0,Grüner Veltliner,Rosenberg Alte Reben,nan,Wagram,Austria,Anton Bauer,"0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0", white
204,45.0,Blaufränkisch,Kirchweingarten Reserve,nan,Carnuntum,Austria,Artner,"0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0", red
205,30.0,Chardonnay,La Pristina,"Edna Valley, Central Coast",California,US,Baileyana,"0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0", white
206,110.0,Pinot Noir,The Row Find,"Sta. Rita Hills, Central Coast",California,US,Wedell Cellars,"0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0", red
207,39.0,Pinot Noir,Arena Block,"Santa Cruz Mountains, Central Coast",California,US,Wrights Station,"0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0", red
208,75.0,Austrian Red Blend,terra o.,nan,Burgenland,Austria,Heinrich,"0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0", red
209,45.0,Grüner Veltliner,Achleiten Smaragd,nan,Wachau,Austria,Jäger,"0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0", white
210,80.0,Grüner Veltliner,Lamm Reserve,nan,Kamptal,Austria,Bründlmayer,"0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0", white
211,75.0,Red Blend,Summus,Toscana,Tuscany,Italy,Castello Banfi,"1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0", red
212,73.0,Gamay,Le Clos du Moulin-à-Vent,Moulin-à-Vent,Beaujolais,France,Domaine Labruyère,"0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0", red
213,30.0,Chardonnay,Rancho Santa Rosa,"Sta. Rita Hills, Central Coast",California,US,Foley,"0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0", white
214,55.0,Sauvignon Blanc,The Fuder Single Vineyard Selection Matthews Lane,nan,Marlborough,New Zealand,Giesen,"0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0", white
215,70.0,Sangiovese,Mix 36,Toscana,Tuscany,Italy,Mazzei,"0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0", red
216,75.0,Sparkling Blend,Methode Traditionelle Brut,"Carneros, Napa-Sonoma",California,US,Schramsberg,"0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0", white or rosé
217,30.0,Sauvignon Blanc,Cape Crest,nan,Hawke's Bay,New Zealand,Te Mata,"0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0", white
218,65.0,Pinot Noir,Block 21,"Russian River Valley, Sonoma",California,US,Zoetic Wines,"0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0", red
219,28.0,Grüner Veltliner,Gaisberg,nan,Kamptal,Austria,Allram,"0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0", white
220,31.0,Grüner Veltliner,Renner,nan,Kamptal,Austria,Allram,"0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1", white
221,49.0,Grüner Veltliner,Grande Reserve,nan,Wagram,Austria,Anton Bauer,"0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0", white
222,50.0,Grüner Veltliner,Alte Reben Reserve,nan,Kamptal,Austria,Bründlmayer,"0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0", white
223,62.0,Cabernet Sauvignon-Syrah,Companion,"Central Coast, Central Coast",California,US,Caliza,"0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0", red
224,40.0,Sangiovese,Foho Riserva,Chianti Classico,Tuscany,Italy,Casa al Vento,"0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0", red
225,30.0,Rosé,Dry,"Livermore Valley, Central Coast",California,US,Murrieta's Well,"0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0", pink
226,25.0,Red Blend,Gabaxo,Rioja,Northern Spain,Spain,Olivier Rivière,"1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0", red
227,60.0,Chardonnay,Alder Springs Vineyard,Mendocino,California,US,Patz & Hall,"0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0", white
228,29.0,Bordeaux-style Red Blend,Wandering,"Yakima Valley, Columbia Valley",Washington,US,Pearl and Stone,"0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0", red
229,56.0,Nebbiolo,Albesani Vigna Borgese,Barbaresco,Piedmont,Italy,Piero Busso,"0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0", red
230,26.0,Chardonnay,Estate,"Carneros, Napa-Sonoma",California,US,Poseidon,"0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0", white
231,44.0,Chardonnay,Vers Chanes,Pouilly-Fuissé,Burgundy,France,Rijckaert,"0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0", white
232,60.0,Rhône-style Red Blend,The Keep,Lake County,California,US,Sol Rouge,"1,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0", red
233,25.0,Picpoul,Boushey Vineyard,"Yakima Valley, Columbia Valley",Washington,US,Syncline,"0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0", white
234,90.0,White Blend,Pedra de Guix,Priorat,Catalonia,Spain,Terroir Al Límit,"0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0", white
235,55.0,Carmenère,Margaret's Vineyard,"Walla Walla Valley (WA), Columbia Valley",Washington,US,JM Cellars,"0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0", red
236,65.0,Chardonnay,West Block,"Knights Valley, Sonoma",California,US,Knights Bridge,"0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0", white
237,60.0,Pinot Noir,Les Galets,"Arroyo Grande Valley, Central Coast",California,US,Laetitia,"0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0", red
238,75.0,Sparkling Blend,Late Disgorged Brut Zero,"Russian River Valley, Sonoma",California,US,Longboard,"0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0", white or rosé
239,46.0,Chardonnay,Bacigalupi Vineyard,"Russian River Valley, Sonoma",California,US,MacRostie,"0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0", white
240,44.0,Pinot Noir,Perli Vineyard,Mendocino Ridge,California,US,Arista,"0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0", red
241,58.0,Rhône-style Red Blend,Nefarious,"Paso Robles, Central Coast",California,US,Asuncion Ridge,"1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0", red
242,39.0,Red Blend,Callisto,"Columbia Valley (WA), Columbia Valley",Washington,US,Baer,"1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0", red
243,35.0,Syrah,Bell Ranch Vineyard,"Monterey, Central Coast",California,US,Boekenoogen,"1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0", red
244,45.0,Nebbiolo,Gallina,Barbaresco,Piedmont,Italy,Ugo Lequio,"0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1", red
245,50.0,Champagne Blend,Fascinante Rosé Brut,Champagne,Champagne,France,Dom Caudron,"0,0,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0", white
246,28.0,Sparkling Blend,Nature Extra Brut,Crémant d'Alsace,Alsace,France,Domaine Charles Frey,"0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0", white or rosé
247,25.0,Bordeaux-style Red Blend,Les Vendanges,Cadillac Côtes de Bordeaux,Bordeaux,France,Domaine Les Carmels,"0,0,0,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0", red
248,12.0,Riesling,Noble House,nan,Mosel,Germany,Dr. Pauly Bergweiler,"0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0", white
249,45.0,Pinot Noir,Estate Grown Grace Benoit Ranch,"Carneros, Napa-Sonoma",California,US,Etude,"1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0", red
250,16.0,Monastrell,Old Vines,Jumilla,Levante,Spain,Finca Ventura,"0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0", red
251,30.0,Sparkling Blend,Cuvée 18 Mesi Metodo Classico,Piemonte,Piedmont,Italy,Gancia,"0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0", white or rosé
252,36.0,Chardonnay,Suzanne's Blend,"Russian River Valley, Sonoma",California,US,Gracianna,"0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1", white
253,30.0,Pinot Noir,The Uncarved Block,"Willamette Valley, Willamette Valley",Oregon,US,Amalie Robert,"0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0", red
254,26.0,Sauvignon Blanc,Kick Ranch,"Sonoma County, Sonoma",California,US,Apsara,"0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0", white
255,19.0,Red Blend,Hacienda de Arínzano,Pago de Arínzano,Northern Spain,Spain,Arínzano,"0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0", red
256,50.0,Sagrantino,Estate,"St. Helena, Napa",California,US,Benessere,"1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0", red
257,55.0,Champagne Blend,Brut Rosé de Saignée,Champagne,Champagne,France,Bertrand-Delespierre,"0,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0", white
258,65.0,Champagne Blend,Cuvée des Moines Brut Rosé,Champagne,Champagne,France,Besserat de Bellefon,"0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0", white
259,14.0,Rosé,Sleever Garnacha,Cariñena,Northern Spain,Spain,Bodegas Paniza,"0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0", pink
260,14.0,Chardonnay,Lot 526,"Santa Barbara County, Central Coast",California,US,Cameron Hughes,"0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0", white
261,30.0,Champagne Blend,Authentic Brut,Champagne,Champagne,France,Canard-Duchêne,"0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0", white
262,55.0,Sparkling Blend,Dosage Zero,Franciacorta,Lombardy,Italy,Castello Bonomi,"0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0", white or rosé
263,32.0,Pinot Noir,Mayerling Brut Rosé,Alsace,Alsace,France,Cave de Turckheim,"0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0", red
264,60.0,Champagne Blend,Tsarine Rosé Brut,Champagne,Champagne,France,Chanoine,"0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0", white
265,39.0,Champagne Blend,La Comtesse de Neples Brut,Champagne,Champagne,France,Chassenay d'Arce,"0,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0", white
266,18.0,Bordeaux-style Red Blend,Grande Réserve,Bordeaux Supérieur,Bordeaux,France,Château Labatut,"0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0", red
267,50.0,Chardonnay,National Geographic Ocean Reserve Blanc de Blancs Estate Bottled,"Green Valley, Sonoma",California,US,Iron Horse,"0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0", white
268,50.0,Grüner Veltliner,Käferberg Reserve,nan,Kamptal,Austria,Jurtschitsch,"0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0", white
269,65.0,Cabernet Sauvignon,Ecstasy of Gold,"Santa Barbara County, Central Coast",California,US,La Voix,"0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0", red
270,30.0,Cabernet Sauvignon,Reserve,"California, California Other",California,US,Malibu Rocky Oaks,"1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0", red
271,34.0,Zinfandel,Limerick Lane Vineyard,"Russian River Valley, Sonoma",California,US,Novy,"1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1", red
272,50.0,Pinot Noir,Winery Lake Vineyard Estate Grown,"Carneros, Napa-Sonoma",California,US,Acacia,"0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0", red
273,20.0,Chardonnay,Teresa's Unoaked Estate Grown Estate Bottled,"Russian River Valley, Sonoma",California,US,Balletto,"0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1", white
274,75.0,Riesling,Passion Reserve,nan,Niederösterreich,Austria,R&A; Pfaffl,"0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0", white
275,38.0,Blaufränkisch,Delanda Vineyard,"Santa Ynez Valley, Central Coast",California,US,Solminer,"1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0", red
276,24.0,Gamay,Domaine de la Madrière,Fleurie,Beaujolais,France,Stéphane Aviron,"1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0", red
277,42.0,Pinot Noir,Sleepy Hollow Vineyard Estate Grown,"Santa Lucia Highlands, Central Coast",California,US,Talbott,"1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0", red
278,65.0,Chardonnay,Lewis MacGregor Estate Vineyard,"Russian River Valley, Sonoma",California,US,Williams Selyem,"0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0", white
279,52.0,Cabernet Sauvignon,Especial,"Livermore Valley, Central Coast",California,US,Wood Family Vineyards,"1,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0", red
280,55.0,Rhône-style Red Blend,La Sousto,Châteauneuf-du-Pape,Rhône Valley,France,Domaine Lucien Barrot et Fils,"0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0", red
281,55.0,Sparkling Blend,Brut Rosé,"Carneros, Napa-Sonoma",California,US,Frank Family,"0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0", white or rosé
282,84.0,Viognier,Les Rouelles,Condrieu,Rhône Valley,France,Gilles Flacher,"0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0", white
283,45.0,Chardonnay,Pratt Vineyard Vine Hill Road,"Russian River Valley, Sonoma",California,US,MacPhail,"0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0", white
284,17.0,Syrah,Les Piliers,Costières de Nîmes,Rhône Valley,France,Michel Gassier,"1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0", red
285,39.0,Red Blend,Edles Tal,nan,Carnuntum,Austria,Netzl,"1,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,0,0", red
286,33.0,Grüner Veltliner,Bärnreiser,nan,Carnuntum,Austria,Netzl,"0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0", white
287,35.0,Chardonnay,Vaillons Premier Cru,Chablis,Burgundy,France,William Fèvre,"0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0", white
288,21.0,Portuguese Red,Reserva,nan,Douro,Portugal,Van Zellers,"1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0", red
289,38.0,Chardonnay,Domaine Drouhin-Vaudon Montmains Premier Cru,Chablis,Burgundy,France,Joseph Drouhin,"0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0", white
290,,Portuguese Red,Reserva,nan,Douro,Portugal,Quinta de la Rosa,"1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0", red
291,105.0,Shiraz,The Factor,Barossa Valley,South Australia,Australia,Torbreck,"0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0", red
292,20.0,Portuguese Red,Casa das Mouras Reserva,nan,Douro,Portugal,Wines & Winemakers,"0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0", red
293,30.0,Chardonnay,Domaine des Deux Roches Plénitude e Bonté,Pouilly-Fuissé,Burgundy,France,Collovray et Terrier,"0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0", white
294,45.0,Rhône-style Red Blend,Collaboration Series II Ciel du Cheval Vineyard Red Wine,"Red Mountain, Columbia Valley",Washington,US,Grand Rêve,"0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0", red
295,50.0,Cabernet Sauvignon,Six,"Columbia Valley (WA), Columbia Valley",Washington,US,Gordon Brothers,"0,0,0,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0", red
296,27.0,Chardonnay,Vieilles Vignes,Pouilly-Fuissé,Burgundy,France,Collovray et Terrier,"0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0", white
297,85.0,Cabernet Sauvignon,Estate,"Napa Valley, Napa",California,US,Jarvis,"0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0", red
298,,Chardonnay,Les Longues Terres,Mâcon-Loché,Burgundy,France,Marcel Couturier,"0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0", white
299,30.0,Pinot Grigio,Mongris Riserva,Collio,Northeastern Italy,Italy,Marco Felluga,"0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1", white
300,36.0,Cabernet Sauvignon-Shiraz,Bin 389,South Australia,South Australia,Australia,Penfolds,"0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0", red
